"iso3","category","fuel","value"
"AUS","oem","biomass",1000
"AUS","construction","biomass",1000
"GRC","manufacturing","biomass",2650
"IND","oem","biomass",2500
"IDN","construction","biomass",7500
"IDN","oem","biomass",2500
"IND","construction","biomass",7500
"IND","manufacturing","biomass",3600
"GRC","construction","biomass",9850
"GRC","oem","biomass",3100
"THA","oem","biomass",3060
"GBR","construction","biomass",2460
"CAN","oem","biomass",1900
"USA","oem","biomass",4900
"GBR","oem","biomass",870
"CHN","oem","biomass",3222
"ESP","oem","coal",330
"CHN","manufacturing","coal",1020
"FRA","oem","coal",190
"PAK","oem","coal",454.545454545455
"TUR","oem","coal",180
"POL","extraction","coal",45.9298253116517
"AUS","oem","coal",200
"IDN","extraction","coal",15.0159812943776
"TUR","extraction","coal",66.7229475739774
"GRC","oem","coal",410
"PAK","construction","coal",3030.30303030303
"IND","extraction","coal",32.7566525283642
"DEU","extraction","coal",12.5621332021903
"IND","construction","coal",920
"AUS","extraction","coal",4.73793253184075
"ROU","oem","coal",560
"ROU","extraction","coal",46.2641836412001
"KEN","construction","coal",1428.57142857143
"TUR","construction","coal",2696
"AUS","construction","coal",1240
"DEU","oem","coal",240
"UKR","extraction","coal",135.138428273618
"GRC","extraction","coal",10.8348017621145
"KEN","oem","coal",476.190476190476
"CHN","extraction","coal",73.8158060057796
"RUS","extraction","coal",20.768358318365
"ZAF","oem","coal",209.358825393472
"KAZ","extraction","coal",7.03605980650836
"USA","manufacturing","coal",1020
"GBR","oem","coal",230
"CHN","oem","coal",1322
"CZE","extraction","coal",30.285850383041
"ZAF","extraction","coal",15.1645237397216
"USA","extraction","coal",3.2307157635091
"COL","extraction","coal",64.2336920537982
"USA","oem","coal",180
"CAN","oem","coal",100
"CZE","oem","coal",530
"IND","oem","coal",570
"ROU","extraction","gas",8.61244019138756
"TUR","construction","gas",1490
"CHN","manufacturing","gas",1450
"IDN","construction","gas",2727.27272727273
"NLD","extraction","gas",8.61244019138756
"AUS","extraction","gas",3.11004784688995
"BRA","extraction","gas",3.34928229665072
"IRQ","construction","gas",2361.33333333333
"IRQ","oem","gas",666.666666666667
"SAU","extraction","gas",0.92822966507177
"MEX","extraction","gas",6.9377990430622
"TUR","oem","gas",140
"VNM","extraction","gas",2.41626794258373
"RUS","extraction","gas",5.32874790925244
"POL","extraction","gas",8.61244019138756
"GRC","extraction","gas",8.61244019138756
"USA","oem","gas",243.127572016461
"CHN","oem","gas",770
"FRA","extraction","gas",8.61244019138756
"TUR","extraction","gas",17.1291866028708
"AUS","oem","gas",100
"ESP","extraction","gas",8.61244019138756
"CAN","oem","gas",80
"CHN","extraction","gas",58.3732057416268
"USA","extraction","gas",4.30622009569378
"IND","extraction","gas",11.2200956937799
"USA","manufacturing","gas",1450
"IND","oem","gas",310
"IDN","oem","gas",71.0227272727273
"DEU","extraction","gas",8.61244019138756
"CAN","construction","gas",1700
"IND","construction","gas",2300
"NGA","extraction","gas",8.37320574162679
"DNK","extraction","gas",8.61244019138756
"GAB","extraction","gas",10.5263157894737
"CZE","extraction","gas",8.61244019138756
"NOR","extraction","gas",8.61244019138756
"USA","construction","gas",1062.85714285714
"GBR","extraction","gas",8.61244019138756
"USA","oem","hydro",1041.74159456661
"AUS","construction","hydro",1500
"TUR","oem","hydro",428.247321901348
"TZA","construction","hydro",2380.95238095238
"TUR","manufacturing","hydro",2666.5
"USA","construction","hydro",2908.64658137229
"TZA","oem","hydro",190.47619047619
"USA","manufacturing","hydro",2750
"ETH","construction","hydro",2000
"JPN","construction","hydro",3949.446
"IND","oem","hydro",715.625088121117
"AGO","construction","hydro",4604.05156537753
"GRC","oem","hydro",334
"NOR","oem","hydro",186.354838709677
"TUR","construction","hydro",3982.28992709055
"AUS","oem","hydro",229.806598407281
"JPN","oem","hydro",180.3
"CAN","oem","hydro",54.5383453019566
"CAN","construction","hydro",5176.76897207294
"IND","construction","hydro",5157.93572563236
"CHN","oem","hydro",1953
"AUS","extraction","nuclear",5.48
"USA","construction","nuclear",982.542524619517
"POL","construction","nuclear",1672.47386759582
"NLD","construction","nuclear",1672.47386759582
"NOR","construction","nuclear",1672.47386759582
"GRC","construction","nuclear",1672.47386759582
"FRA","oem","nuclear",746.031746031746
"CHN","extraction","nuclear",36.45
"USA","extraction","nuclear",4.4
"UKR","extraction","nuclear",30.62
"CHN","manufacturing","nuclear",130
"CAN","extraction","nuclear",1.61
"ROU","construction","nuclear",1672.47386759582
"CAN","oem","nuclear",1050
"USA","oem","nuclear",475.778581883233
"FRA","construction","nuclear",1672.47386759582
"CHN","construction","nuclear",1800
"CHN","oem","nuclear",362.5
"RUS","oem","nuclear",2000
"ESP","construction","nuclear",1672.47386759582
"KOR","construction","nuclear",1200
"NLD","oem","nuclear",206.185567010309
"IND","oem","nuclear",1390
"USA","manufacturing","nuclear",130
"RUS","extraction","nuclear",22.97
"DNK","construction","nuclear",1672.47386759582
"KAZ","extraction","nuclear",3.17
"DEU","construction","nuclear",1672.47386759582
"KOR","oem","nuclear",600
"GBR","oem","nuclear",1400
"IND","construction","nuclear",2290
"GBR","construction","nuclear",1672.47386759582
"CZE","construction","nuclear",1672.47386759582
"MYS","refinery","oil",1.83815014451536
"SAU","refinery","oil",1.6775693478905
"CHN","extraction","oil",58.3732057416268
"SAU","extraction","oil",0.92822966507177
"RUS","extraction","oil",5.32874790925244
"USA","refinery","oil",1.80318444398858
"TUR","refinery","oil",2.50723679711896
"CAN","refinery","oil",4.36479874379742
"USA","extraction","oil",13.6363636363636
"GAB","extraction","oil",10.5263157894737
"CZE","extraction","oil",14.3540669856459
"ROU","extraction","oil",14.3540669856459
"MEX","refinery","oil",13.6828503249765
"OMN","extraction","oil",8.34928229665072
"OMN","refinery","oil",1.58560429857325
"POL","extraction","oil",14.3540669856459
"CHN","refinery","oil",8.05052549659386
"ESP","extraction","oil",14.3540669856459
"VNM","extraction","oil",2.41626794258373
"GBR","extraction","oil",14.3540669856459
"KWT","refinery","oil",1.92279931527305
"CAN","extraction","oil",5.74162679425837
"NGA","extraction","oil",8.37320574162679
"IRQ","refinery","oil",5.62791649184951
"RUS","refinery","oil",7.91555516931741
"IND","extraction","oil",11.2200956937799
"IRQ","extraction","oil",4.78468899521531
"NOR","extraction","oil",14.3540669856459
"NOR","refinery","oil",1.54353014942252
"NLD","extraction","oil",14.3540669856459
"IND","refinery","oil",3.89277004079958
"DEU","extraction","oil",14.3540669856459
"DNK","extraction","oil",14.3540669856459
"USA","manufacturing","oil",1450
"GRC","extraction","oil",14.3540669856459
"MEX","extraction","oil",6.9377990430622
"BRA","extraction","oil",3.34928229665072
"CHN","manufacturing","oil",1450
"FRA","extraction","oil",14.3540669856459
"IRN","oem","solar_csp",500
"KWT","oem","solar_csp",500
"IRQ","manufacturing","solar_csp",5100
"IRQ","construction","solar_csp",5100
"KWT","manufacturing","solar_csp",5100
"ARE","oem","solar_csp",500
"LBY","construction","solar_csp",5100
"IRN","manufacturing","solar_csp",5100
"ARE","manufacturing","solar_csp",5100
"KWT","construction","solar_csp",5100
"DEU","construction","solar_csp",6000
"SAU","manufacturing","solar_csp",5100
"EGY","construction","solar_csp",5100
"MAR","construction","solar_csp",6000
"ESP","construction","solar_csp",13186
"ZAF","construction","solar_csp",14400
"ARE","construction","solar_csp",5100
"SAU","construction","solar_csp",5100
"USA","oem","solar_csp",291
"ESP","oem","solar_csp",989
"BHR","manufacturing","solar_csp",5100
"DEU","manufacturing","solar_csp",4000
"IRN","construction","solar_csp",5100
"IRQ","oem","solar_csp",500
"MAR","oem","solar_csp",870
"BHR","oem","solar_csp",500
"OMN","manufacturing","solar_csp",5100
"USA","construction","solar_csp",5152
"ZAF","oem","solar_csp",540
"TUR","manufacturing","solar_csp",4000
"TUR","oem","solar_csp",300
"ZAF","manufacturing","solar_csp",21600
"QAT","oem","solar_csp",500
"LBY","oem","solar_csp",500
"OMN","construction","solar_csp",5100
"QAT","manufacturing","solar_csp",5100
"THA","oem","solar_csp",2000
"SAU","oem","solar_csp",500
"EGY","oem","solar_csp",500
"TUR","construction","solar_csp",6000
"BHR","construction","solar_csp",5100
"DEU","oem","solar_csp",100
"EGY","manufacturing","solar_csp",5100
"QAT","construction","solar_csp",5100
"LBY","manufacturing","solar_csp",5100
"THA","construction","solar_csp",24000
"OMN","oem","solar_csp",500
"ETH","oem","solar_pv",2780
"GAB","manufacturing","solar_pv",8440
"SAU","manufacturing","solar_pv",12600
"CHN","oem","solar_pv",496.941896024465
"IND","oem","solar_pv",500
"AGO","manufacturing","solar_pv",8440
"ARE","manufacturing","solar_pv",12600
"OMN","manufacturing","solar_pv",12600
"COG","manufacturing","solar_pv",8440
"EGY","manufacturing","solar_pv",12600
"USA","construction","solar_pv",15100
"USA","oem","solar_pv",225.08064516129
"IRN","manufacturing","solar_pv",12600
"GAB","construction","solar_pv",6153
"COG","oem","solar_pv",2780
"GAB","oem","solar_pv",2780
"EGY","construction","solar_pv",15400
"CAN","construction","solar_pv",12500
"AGO","construction","solar_pv",6153
"BHR","oem","solar_pv",300
"IRQ","construction","solar_pv",15400
"IRQ","manufacturing","solar_pv",12600
"AUS","oem","solar_pv",130
"OMN","oem","solar_pv",300
"ESP","manufacturing","solar_pv",21400
"TZA","manufacturing","solar_pv",8440
"ZAF","construction","solar_pv",7000
"NGA","oem","solar_pv",2780
"NGA","manufacturing","solar_pv",8440
"ARE","oem","solar_pv",300
"JPN","construction","solar_pv",10600
"CAN","oem","solar_pv",250
"BHR","construction","solar_pv",15400
"CHN","construction","solar_pv",14939.4499566152
"CHN","manufacturing","solar_pv",19414.2857142857
"AGO","oem","solar_pv",2780
"AUS","construction","solar_pv",8700
"QAT","manufacturing","solar_pv",12600
"EGY","oem","solar_pv",300
"NGA","construction","solar_pv",6153
"COG","construction","solar_pv",6153
"ZAF","manufacturing","solar_pv",16800
"GRC","construction","solar_pv",11200
"KEN","manufacturing","solar_pv",8440
"GRC","oem","solar_pv",205
"IRN","oem","solar_pv",300
"OMN","construction","solar_pv",15400
"KWT","oem","solar_pv",300
"IND","manufacturing","solar_pv",2600
"QAT","oem","solar_pv",300
"ETH","construction","solar_pv",6153
"SAU","construction","solar_pv",15400
"TZA","construction","solar_pv",6153
"TUR","construction","solar_pv",3460
"IRQ","oem","solar_pv",300
"TUR","oem","solar_pv",2700
"LBY","construction","solar_pv",15400
"LBY","manufacturing","solar_pv",12600
"KWT","construction","solar_pv",15400
"KWT","manufacturing","solar_pv",12600
"IND","construction","solar_pv",8270
"BHR","manufacturing","solar_pv",12600
"ETH","manufacturing","solar_pv",8440
"LBY","oem","solar_pv",300
"ESP","construction","solar_pv",6060
"ARE","construction","solar_pv",15400
"TZA","oem","solar_pv",2780
"JPN","oem","solar_pv",870
"SAU","oem","solar_pv",300
"QAT","construction","solar_pv",15400
"KEN","construction","solar_pv",6153
"USA","manufacturing","solar_pv",18442.5
"KEN","oem","solar_pv",2780
"GRC","manufacturing","solar_pv",6000
"TUR","manufacturing","solar_pv",10000
"ZAF","oem","solar_pv",700
"IRN","construction","solar_pv",15400
"DEU","oem","solar_pv",545.934840035222
"ESP","oem","solar_pv",1650
"FRA","refinery","trbiofuel",7.31618733161626
"JPN","refinery","trbiofuel",4.60612883900681
"CAN","refinery","trbiofuel",6.07846985752607
"NOR","refinery","trbiofuel",7.31618733161626
"IND","refinery","trbiofuel",7.64371022296652
"CHN","refinery","trbiofuel",6.07373497597089
"THA","refinery","trbiofuel",6.07520403470201
"DNK","refinery","trbiofuel",7.31618733161626
"USA","refinery","trbiofuel",5.58390686646062
"CZE","refinery","trbiofuel",7.31618733161626
"TZA","refinery","trbiofuel",7.58930360908484
"BRA","refinery","trbiofuel",7.63531368296012
"MEX","refinery","trbiofuel",4.62984067649807
"IDN","refinery","trbiofuel",7.64369695202759
"ROU","refinery","trbiofuel",7.31618733097132
"GRC","refinery","trbiofuel",7.31618733161626
"COL","refinery","trbiofuel",7.6345168136032
"POL","refinery","trbiofuel",7.31618733161626
"MYS","refinery","trbiofuel",7.60933434251206
"ARG","refinery","trbiofuel",6.82640143728097
"ESP","refinery","trbiofuel",7.31618733161626
"ZAF","refinery","trbiofuel",7.0082104507388
"GBR","refinery","trbiofuel",7.31618733161626
"TUR","refinery","trbiofuel",5.99409273688057
"VNM","refinery","trbiofuel",7.50955409173448
"DEU","refinery","trbiofuel",7.31618733161626
"AUS","refinery","trbiofuel",9.71965976062207
"NLD","refinery","trbiofuel",7.31618733161626
"ROU","oem","wind_off",330
"NOR","oem","wind_off",330
"AUS","oem","wind_off",100
"QAT","oem","wind_off",200
"GAB","construction","wind_off",1540
"CHN","oem","wind_off",378
"FRA","oem","wind_off",400
"FRA","manufacturing","wind_off",1875
"KWT","manufacturing","wind_off",1650
"DNK","manufacturing","wind_off",1875
"CZE","oem","wind_off",330
"THA","oem","wind_off",400
"OMN","construction","wind_off",375
"IND","oem","wind_off",500
"IRN","oem","wind_off",200
"USA","manufacturing","wind_off",5125
"CZE","manufacturing","wind_off",1875
"NGA","manufacturing","wind_off",3740
"DNK","construction","wind_off",300
"LBY","construction","wind_off",375
"DEU","oem","wind_off",200
"ARE","oem","wind_off",200
"IND","construction","wind_off",385
"BHR","oem","wind_off",200
"NOR","manufacturing","wind_off",1875
"ETH","manufacturing","wind_off",3740
"AUS","construction","wind_off",1100
"USA","construction","wind_off",2225
"EGY","oem","wind_off",200
"GBR","manufacturing","wind_off",1875
"CZE","construction","wind_off",300
"NGA","construction","wind_off",1540
"TUR","oem","wind_off",360
"ARE","construction","wind_off",375
"KWT","construction","wind_off",375
"GRC","oem","wind_off",375
"ROU","manufacturing","wind_off",1875
"AGO","construction","wind_off",1540
"ETH","construction","wind_off",1540
"NOR","construction","wind_off",1875
"ESP","construction","wind_off",300
"NLD","manufacturing","wind_off",1875
"ESP","manufacturing","wind_off",1875
"USA","oem","wind_off",90
"DEU","construction","wind_off",1775
"ZAF","construction","wind_off",375
"TUR","manufacturing","wind_off",3157.5
"ARE","manufacturing","wind_off",1650
"KEN","manufacturing","wind_off",3740
"KWT","oem","wind_off",200
"GRC","manufacturing","wind_off",675
"BHR","construction","wind_off",375
"JPN","oem","wind_off",510
"EGY","construction","wind_off",375
"IRQ","manufacturing","wind_off",1650
"OMN","oem","wind_off",200
"ESP","oem","wind_off",330
"COG","construction","wind_off",1540
"GBR","oem","wind_off",267.857142857143
"SAU","oem","wind_off",200
"DEU","manufacturing","wind_off",2675
"FRA","construction","wind_off",3836
"IRN","manufacturing","wind_off",1650
"BHR","manufacturing","wind_off",1650
"IRN","construction","wind_off",375
"LBY","oem","wind_off",200
"NLD","construction","wind_off",300
"IRQ","construction","wind_off",375
"IRQ","oem","wind_off",200
"NLD","oem","wind_off",330
"GBR","construction","wind_off",2083.33333333333
"DNK","oem","wind_off",330
"BRA","manufacturing","wind_off",2100
"MEX","construction","wind_off",378.787878787879
"COG","manufacturing","wind_off",3740
"GRC","construction","wind_off",1525
"KEN","oem","wind_off",645.161290322581
"LBY","manufacturing","wind_off",1650
"ROU","construction","wind_off",300
"QAT","manufacturing","wind_off",1650
"QAT","construction","wind_off",375
"POL","construction","wind_off",300
"OMN","manufacturing","wind_off",1650
"POL","oem","wind_off",330
"SAU","manufacturing","wind_off",1650
"TZA","manufacturing","wind_off",3740
"TUR","construction","wind_off",1095
"POL","manufacturing","wind_off",1875
"BRA","oem","wind_off",509
"KEN","construction","wind_off",2016.12903225806
"MEX","oem","wind_off",75.7575757575758
"TZA","construction","wind_off",1540
"JPN","construction","wind_off",1400
"ZAF","oem","wind_off",500
"SAU","construction","wind_off",375
"ZAF","manufacturing","wind_off",1125
"TUR","oem","wind_on",360
"USA","construction","wind_on",700
"EGY","construction","wind_on",750
"IND","construction","wind_on",770
"TUR","manufacturing","wind_on",6315
"USA","oem","wind_on",516.097321209142
"FRA","oem","wind_on",330
"BHR","oem","wind_on",200
"BHR","manufacturing","wind_on",3300
"CAN","construction","wind_on",1507
"IND","oem","wind_on",500
"NOR","construction","wind_on",3750
"NOR","oem","wind_on",330
"NOR","manufacturing","wind_on",3750
"OMN","oem","wind_on",200
"CZE","oem","wind_on",330
"CZE","manufacturing","wind_on",3750
"GAB","construction","wind_on",3080
"TUR","construction","wind_on",2190
"CAN","oem","wind_on",100
"GRC","manufacturing","wind_on",1350
"GRC","oem","wind_on",375
"ETH","manufacturing","wind_on",7480
"QAT","oem","wind_on",200
"AGO","manufacturing","wind_on",7480
"OMN","construction","wind_on",750
"EGY","oem","wind_on",200
"OMN","manufacturing","wind_on",3300
"DNK","construction","wind_on",600
"GBR","construction","wind_on",600
"GBR","manufacturing","wind_on",3750
"GBR","oem","wind_on",330
"GAB","manufacturing","wind_on",7480
"KWT","construction","wind_on",750
"KEN","manufacturing","wind_on",7480
"CHN","oem","wind_on",378
"THA","oem","wind_on",400
"ROU","manufacturing","wind_on",3750
"QAT","manufacturing","wind_on",3300
"IRN","oem","wind_on",200
"AUS","construction","wind_on",2200
"POL","construction","wind_on",600
"AUS","oem","wind_on",100
"TZA","construction","wind_on",3080
"CZE","construction","wind_on",600
"SAU","manufacturing","wind_on",3300
"FRA","manufacturing","wind_on",3750
"FRA","construction","wind_on",600
"KEN","oem","wind_on",645.161290322581
"ROU","oem","wind_on",330
"AGO","construction","wind_on",3080
"JPN","oem","wind_on",510
"QAT","construction","wind_on",750
"IRN","manufacturing","wind_on",3300
"ZAF","oem","wind_on",500
"NGA","manufacturing","wind_on",7480
"ESP","construction","wind_on",600
"ESP","oem","wind_on",330
"DNK","oem","wind_on",330
"ARE","manufacturing","wind_on",3300
"DEU","construction","wind_on",600
"GRC","construction","wind_on",3050
"ETH","construction","wind_on",3080
"SAU","construction","wind_on",750
"ARE","oem","wind_on",200
"IRN","construction","wind_on",750
"IRQ","construction","wind_on",750
"ROU","construction","wind_on",600
"TZA","manufacturing","wind_on",7480
"NLD","construction","wind_on",600
"DNK","manufacturing","wind_on",3750
"JPN","manufacturing","wind_on",4300
"BHR","construction","wind_on",750
"NGA","construction","wind_on",3080
"ARE","construction","wind_on",750
"ESP","manufacturing","wind_on",3750
"NLD","oem","wind_on",330
"KWT","manufacturing","wind_on",3300
"KWT","oem","wind_on",200
"MEX","construction","wind_on",757.575757575758
"KEN","construction","wind_on",4032.25806451613
"COG","construction","wind_on",3080
"POL","oem","wind_on",330
"LBY","oem","wind_on",200
"ZAF","manufacturing","wind_on",2250
"MEX","oem","wind_on",75.7575757575758
"LBY","manufacturing","wind_on",3300
"DEU","oem","wind_on",330
"IRQ","oem","wind_on",200
"POL","manufacturing","wind_on",3750
"NLD","manufacturing","wind_on",3750
"COG","manufacturing","wind_on",7480
"SAU","oem","wind_on",200
"BRA","oem","wind_on",509
"LBY","construction","wind_on",750
"BRA","manufacturing","wind_on",4200
"JPN","construction","wind_on",2800
"IRQ","manufacturing","wind_on",3300
"DEU","manufacturing","wind_on",3750
"ZAF","construction","wind_on",750
